id;creation_date;publication_date;headline;leadtext;bodytext;quote;conclusion;link_text;link_url;image;image_content_type;appuser_id;blog_id
1;2019-10-09T22:36:54;2019-10-10T08:16:16;envisioneer Music Public-key;infomediaries;Investment Account;Games Regional Digitized;copy convergence;Mayotte;Industrial;../fake-data/blob/hipster.png;image/png;1;1
2;2019-10-10T01:34:31;2019-10-10T03:11:13;Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;Small;../fake-data/blob/hipster.png;image/png;2;2
3;2019-10-09T22:06:18;2019-10-10T11:37:42;reinvent 24 hour Jewelery;monitor;1080p Checking Account Identity;Frozen IB;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;../fake-data/blob/hipster.png;image/png;3;3
4;2019-10-10T12:35:59;2019-10-10T18:55:11;bus synthesize Idaho;Networked Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;../fake-data/blob/hipster.png;image/png;4;4
5;2019-10-10T06:35:18;2019-10-10T19:15:29;Squares mint green e-business;Ghana back-end National;Direct;Profit-focused;Jewelery cutting-edge;Games;Iraq Bedfordshire;../fake-data/blob/hipster.png;image/png;5;5
6;2019-10-10T05:10:18;2019-10-10T18:54:47;24/7;Gloves sky blue Oklahoma;robust Engineer;Exclusive Moroccan Dirham card;zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;../fake-data/blob/hipster.png;image/png;6;6
7;2019-10-10T16:02:26;2019-10-10T05:27:11;Lebanon;Designer Persistent;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation;Argentine Peso;../fake-data/blob/hipster.png;image/png;7;7
8;2019-10-10T01:11:22;2019-10-10T07:36:31;Algerian Dinar;firewall;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;../fake-data/blob/hipster.png;image/png;8;8
9;2019-10-10T19:33:20;2019-10-09T22:37:12;Virginia THX pink;cross-media;programming SCSI drive;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;../fake-data/blob/hipster.png;image/png;9;9
10;2019-10-09T21:55:24;2019-10-10T16:24:27;driver;Bedfordshire;navigate;program alarm;Nevada;Berkshire;dedicated Persevering;../fake-data/blob/hipster.png;image/png;10;10
